accident_year,speed_limit,road_surface_conditions,weather_conditions,urban_or_rural_area,accident_severity,accident_count
2018,40,Dry,Fine without high winds,Urban,Serious,141
2019,40,Dry,Fine without high winds,Rural,Serious,110
2019,40,Dry,Fine without high winds,Urban,Serious,129
2020,40,Dry,Fine without high winds,Rural,Serious,86
2020,40,Dry,Fine without high winds,Urban,Serious,102
2021,40,Dry,Fine without high winds,Rural,Serious,102
2021,40,Dry,Fine without high winds,Urban,Serious,114
2022,40,Dry,Fine without high winds,Rural,Serious,121
2022,40,Dry,Fine without high winds,Urban,Serious,134
2023,40,Dry,Fine without high winds,Rural,Serious,81
2023,40,Dry,Fine without high winds,Urban,Serious,89
2014,50,Dry,Fine without high winds,Rural,Serious,21
2014,50,Dry,Fine without high winds,Urban,Serious,22
2015,50,Dry,Fine without high winds,Rural,Serious,31
2015,50,Dry,Fine without high winds,Urban,Serious,32
2016,50,Dry,Fine without high winds,Rural,Serious,33
2016,50,Dry,Fine without high winds,Urban,Serious,35
2017,50,Dry,Fine without high winds,Rural,Serious,72
2017,50,Dry,Fine without high winds,Urban,Serious,74
2018,50,Dry,Fine without high winds,Rural,Serious,87
2018,50,Dry,Fine without high winds,Urban,Serious,91
2019,50,Dry,Fine without high winds,Rural,Serious,53
2019,50,Dry,Fine without high winds,Urban,Serious,61
2020,50,Dry,Fine without high winds,Rural,Serious,46
2020,50,Dry,Fine without high winds,Urban,Serious,50
2021,50,Dry,Fine without high winds,Rural,Serious,62
2021,50,Dry,Fine without high winds,Urban,Serious,63
2022,50,Dry,Fine without high winds,Rural,Serious,76
2022,50,Dry,Fine without high winds,Urban,Serious,76
2023,50,Dry,Fine without high winds,Rural,Serious,64
2023,50,Dry,Fine without high winds,Urban,Serious,69
2015,60,Dry,Fine without high winds,Rural,Serious,1
2015,60,Dry,Fine without high winds,Urban,Serious,1
2017,60,Dry,Fine without high winds,Rural,Serious,11
2017,60,Dry,Fine without high winds,Urban,Serious,11
2018,60,Dry,Fine without high winds,Rural,Serious,5
2018,60,Dry,Fine without high winds,Urban,Serious,5
2019,60,Dry,Fine without high winds,Rural,Serious,11
2019,60,Dry,Fine without high winds,Urban,Serious,11
2020,60,Dry,Fine without high winds,Rural,Serious,6
2020,60,Dry,Fine without high winds,Urban,Serious,7
2021,60,Dry,Fine without high winds,Rural,Serious,4
2021,60,Dry,Fine without high winds,Urban,Serious,4
2022,60,Dry,Fine without high winds,Rural,Serious,5
2022,60,Dry,Fine without high winds,Urban,Serious,5
2023,60,Dry,Fine without high winds,Rural,Serious,2
2023,60,Dry,Fine without high winds,Urban,Serious,2
2014,70,Dry,Fine without high winds,Rural,Serious,9
2014,70,Dry,Fine without high winds,Urban,Serious,9
